PartcipantID:Hi
instanceNumber;c;p;w;v;id;type;sol
1;90;100;48,34,43,32,20,44;26,24,34,47,17,11;98-0.41-0.63;1;0
2;50;112;29,12,11,42,20,1;30,17,27,48,34,19;66-0.44-0.64;1;0
3;62;77;17,14,39,25,2,42;1,41,26,36,13,10;109-0.45-0.61;2;1
4;65;94;23,12,25,42,13,42;43,3,17,14,49,24;246-0.42-0.63;2;1
5;59;110;8,18,36,15,20,41;25,33,49,17,43,5;104-0.43-0.64;3;0
6;65;116;33,31,37,20,18,10;43,46,25,37,17,23;82-0.44-0.61;3;0
7;61;108;27,18,49,40,8,9;7,37,48,9,44,33;176-0.41-0.61;4;1
8;75;79;5,47,32,45,11,28;36,2,28,16,17,27;172-0.45-0.63;4;1
9;75;141;4,38,25,16,49,47;43,45,20,26,12,13;124-0.42-0.89;5;0
10;79;155;20,37,42,27,43,16;37,19,38,13,47,27;194-0.43-0.86;5;0
11;55;157;33,11,29,33,19,1;46,18,18,41,47,13;201-0.44-0.86;5;0
12;71;82;18,42,30,43,33,1;16,13,34,2,5,22;4-0.43-0.9;5;0
13;61;56;5,32,49,35,9,19;17,45,11,29,34,22;209-0.41-0.36;6;1
14;50;49;2,2,42,31,30,6;2,23,40,40,10,12;1-0.45-0.39;6;1
15;58;53;5,10,44,22,35,24;34,23,33,17,10,28;173-0.42-0.37;6;1
16;65;81;3,33,49,26,38,3;18,44,38,20,40,43;74-0.43-0.4;6;1
