PartcipantID:Hi
block;trial;answer;correct;timeSpent;randomYes(1=Left:No/Right:Yes);instanceNumber;xyCoordinates;error
1;1;2;0;1;1;12;(3.5,0.5)(7,4.5)(0.5,0.5)(0,4)(7.5,2)(1,6);
1;2;2;0;1;1;15;(5,0.5)(6.5,2.5)(0,1.5)(1.5,6)(6.5,4.5)(0.5,3.5);
1;3;2;0;1;0;9;(1,5)(6.5,5)(4,0.5)(1.5,0.5)(8,0.5)(7,3);
1;4;2;0;1;0;8;(2,0)(8.5,3.5)(0,1.5)(8,0.5)(5.5,0.5)(6.5,5.5);
1;5;2;0;1;0;16;(8,3.5)(6.5,1.5)(2.5,0.5)(2,5.5)(1.5,3)(5,6);
1;6;2;0;1;1;14;(0,4.5)(8,2.5)(6,1)(0.5,1)(7.5,5)(3,5.5);
1;7;2;0;1;0;1;(1,2.5)(1,5)(7.5,1.5)(7,5)(5,6)(8.5,3.5);
1;8;2;0;1;1;5;(6.5,4)(3,0.5)(0,0.5)(0,4)(7,0.5)(5,0.5);
1;9;2;0;1;1;7;(0,3.5)(8,3)(8,0.5)(7.5,6)(4.5,6)(0,5.5);
1;10;2;0;1;0;4;(2,5)(6.5,0.5)(1,2.5)(8,6)(0,6)(2,0.5);
1;11;2;0;1;0;2;(6,5.5)(8,4)(0,5)(7.5,2)(5,0.5)(1.5,1.5);
1;12;2;0;1;0;13;(0.5,4.5)(1.5,1)(6,1.5)(6.5,5)(7.5,2.5)(4.5,5.5);
1;13;2;0;1;1;3;(2.5,6)(0.5,5)(7.5,0.5)(1.5,3)(5.5,5.5)(5,0.5);
1;14;2;0;1;1;11;(0,4.5)(1.5,1)(7,3)(6.5,1)(5.5,5.5)(4,1);
1;15;2;0;1;0;10;(1.5,1.5)(0.5,6)(1,4)(7,4.5)(7.5,0.5)(3.5,5.5);
1;16;2;0;1;1;6;(8,5)(6.5,1.5)(1,2)(3.5,0.5)(1,4.5)(3.5,6);
